date,country,xborder_liab_nonbanks_usd_mn,yq
1991-12-31,Hong Kong SAR,27020,1991Q4
1992-03-31,Hong Kong SAR,26344,1992Q1
1992-06-30,Hong Kong SAR,28267,1992Q2
1992-09-30,Hong Kong SAR,32432,1992Q3
1992-12-31,Hong Kong SAR,31830,1992Q4
1993-03-31,Hong Kong SAR,34496,1993Q1
1993-06-30,Hong Kong SAR,35613,1993Q2
1993-09-30,Hong Kong SAR,37264,1993Q3
1993-12-31,Hong Kong SAR,38957,1993Q4
1994-03-31,Hong Kong SAR,41272,1994Q1
1994-06-30,Hong Kong SAR,41748,1994Q2
1994-09-30,Hong Kong SAR,45864,1994Q3
1994-12-31,Hong Kong SAR,49679,1994Q4
1995-03-31,Hong Kong SAR,56762,1995Q1
1995-06-30,Hong Kong SAR,61015,1995Q2
1995-09-30,Hong Kong SAR,63815,1995Q3
1995-12-31,Hong Kong SAR,64380,1995Q4
1996-03-31,Hong Kong SAR,66243,1996Q1
1996-06-30,Hong Kong SAR,64798,1996Q2
1996-09-30,Hong Kong SAR,66490,1996Q3
1996-12-31,Hong Kong SAR,67338,1996Q4
1997-03-31,Hong Kong SAR,73627,1997Q1
1997-06-30,Hong Kong SAR,80155,1997Q2
1997-09-30,Hong Kong SAR,80304,1997Q3
1997-12-31,Hong Kong SAR,77487,1997Q4
1998-03-31,Hong Kong SAR,78325,1998Q1
1998-06-30,Hong Kong SAR,76841,1998Q2
1998-09-30,Hong Kong SAR,75253,1998Q3
1998-12-31,Hong Kong SAR,79395,1998Q4
1999-03-31,Hong Kong SAR,78539,1999Q1
1999-06-30,Hong Kong SAR,80003,1999Q2
1999-09-30,Hong Kong SAR,86141,1999Q3
1999-12-31,Hong Kong SAR,84093,1999Q4
2000-03-31,Hong Kong SAR,84054,2000Q1
2000-06-30,Hong Kong SAR,88073,2000Q2
2000-09-30,Hong Kong SAR,86946,2000Q3
2000-12-31,Hong Kong SAR,89343,2000Q4
2001-03-31,Hong Kong SAR,83113,2001Q1
2001-06-30,Hong Kong SAR,82935,2001Q2
