date,country,xborder_liab_nonbanks_usd_mn,yq
2016-03-31,Ireland,327505.93,2016Q1
2016-06-30,Ireland,311258.594,2016Q2
2016-09-30,Ireland,305244.966,2016Q3
2016-12-31,Ireland,285765.589,2016Q4
2017-03-31,Ireland,284195.077,2017Q1
2017-06-30,Ireland,292605.189,2017Q2
2017-09-30,Ireland,302782.797,2017Q3
2017-12-31,Ireland,291589.891,2017Q4
2018-03-31,Ireland,302603.141,2018Q1
2018-06-30,Ireland,288419.606,2018Q2
2018-09-30,Ireland,283513.327,2018Q3
2018-12-31,Ireland,337206.952,2018Q4
2019-03-31,Ireland,371514.478,2019Q1
2019-06-30,Ireland,384537.604,2019Q2
2019-09-30,Ireland,400905.331,2019Q3
2019-12-31,Ireland,407333.923,2019Q4
2020-03-31,Ireland,448358.513,2020Q1
2020-06-30,Ireland,438209.814,2020Q2
2020-09-30,Ireland,448483.482,2020Q3
2020-12-31,Ireland,517358.497,2020Q4
2021-03-31,Ireland,495202.4,2021Q1
2021-06-30,Ireland,496551.122,2021Q2
2021-09-30,Ireland,490327.392,2021Q3
2021-12-31,Ireland,447124.392,2021Q4
2022-03-31,Ireland,477805.876,2022Q1
2022-06-30,Ireland,446610.621,2022Q2
2022-09-30,Ireland,496682.426,2022Q3
2022-12-31,Ireland,499528.803,2022Q4
2023-03-31,Ireland,523193.441,2023Q1
2023-06-30,Ireland,536900.423,2023Q2
2023-09-30,Ireland,537651.639,2023Q3
2023-12-31,Ireland,521471.275,2023Q4
2024-03-31,Ireland,519837.098,2024Q1
2024-06-30,Ireland,524916.262,2024Q2
2024-09-30,Ireland,568501.882,2024Q3
2024-12-31,Ireland,556407.078,2024Q4
2025-03-31,Ireland,604471.945,2025Q1
2016-03-31,Luxembourg,-54.79,2016Q1
2016-06-30,Luxembourg,-66.01,2016Q2
2016-09-30,Luxembourg,2250.63,2016Q3
2016-12-31,Luxembourg,2999.23,2016Q4
2017-03-31,Luxembourg,5846.98,2017Q1
2017-06-30,Luxembourg,152.13,2017Q2
2017-09-30,Luxembourg,251.97,2017Q3
2017-12-31,Luxembourg,-97.39,2017Q4
2018-03-31,Luxembourg,-99.73,2018Q1
2018-06-30,Luxembourg,-56.11,2018Q2
2018-09-30,Luxembourg,-99.88,2018Q3
2018-12-31,Luxembourg,-85.08,2018Q4
2019-03-31,Luxembourg,-2.26,2019Q1
2019-06-30,Luxembourg,-88.84,2019Q2
2019-09-30,Luxembourg,-63.03,2019Q3
2019-12-31,Luxembourg,19.24,2019Q4
2020-03-31,Luxembourg,-35.98,2020Q1
2020-06-30,Luxembourg,-81.78,2020Q2
2020-09-30,Luxembourg,19881.76,2020Q3
2020-12-31,Luxembourg,8062.46,2020Q4
2021-03-31,Luxembourg,249.4,2021Q1
2021-06-30,Luxembourg,1260.13,2021Q2
2021-09-30,Luxembourg,-54.09,2021Q3
2021-12-31,Luxembourg,-93.01,2021Q4
2022-03-31,Luxembourg,719.45,2022Q1
2022-06-30,Luxembourg,55.39,2022Q2
2022-09-30,Luxembourg,-91.79,2022Q3
2022-12-31,Luxembourg,2721.74,2022Q4
2023-03-31,Luxembourg,-93.09,2023Q1
2023-06-30,Luxembourg,-62.94,2023Q2
2023-09-30,Luxembourg,-66.31,2023Q3
2023-12-31,Luxembourg,-97.98,2023Q4
2024-03-31,Luxembourg,-19.59,2024Q1
2024-06-30,Luxembourg,-9.54,2024Q2
2024-09-30,Luxembourg,1061934.11,2024Q3
2024-12-31,Luxembourg,189044.62,2024Q4
2025-03-31,Luxembourg,913866.95,2025Q1
2016-03-31,Netherlands,1196083.358,2016Q1
2016-06-30,Netherlands,1220392.9,2016Q2
2016-09-30,Netherlands,1165532.051,2016Q3
2016-12-31,Netherlands,1046032.995,2016Q4
2017-03-31,Netherlands,1078016.33,2017Q1
2017-06-30,Netherlands,1117442.494,2017Q2
2017-09-30,Netherlands,1104452.506,2017Q3
2017-12-31,Netherlands,1092293.687,2017Q4
2018-03-31,Netherlands,1099280.861,2018Q1
2018-06-30,Netherlands,1079530.83,2018Q2
2018-09-30,Netherlands,1068466.002,2018Q3
2018-12-31,Netherlands,1019794.25,2018Q4
2019-03-31,Netherlands,1061931.402,2019Q1
2019-06-30,Netherlands,1125479.724,2019Q2
2019-09-30,Netherlands,1149465.828,2019Q3
2019-12-31,Netherlands,1123560.573,2019Q4
2020-03-31,Netherlands,1217477.869,2020Q1
2020-06-30,Netherlands,1224700.666,2020Q2
2020-09-30,Netherlands,1247009.765,2020Q3
2020-12-31,Netherlands,1233217.108,2020Q4
2021-03-31,Netherlands,1280353.918,2021Q1
2021-06-30,Netherlands,1248415.345,2021Q2
2021-09-30,Netherlands,1264570.535,2021Q3
2021-12-31,Netherlands,1209560.497,2021Q4
2022-03-31,Netherlands,1253063.143,2022Q1
2022-06-30,Netherlands,1316458.807,2022Q2
2022-09-30,Netherlands,1315551.563,2022Q3
2022-12-31,Netherlands,1432480.453,2022Q4
2023-03-31,Netherlands,1426248.842,2023Q1
2023-06-30,Netherlands,1466735.648,2023Q2
2023-09-30,Netherlands,1461944.962,2023Q3
2023-12-31,Netherlands,1411454.473,2023Q4
2024-03-31,Netherlands,1420996.672,2024Q1
2024-06-30,Netherlands,1421113.707,2024Q2
2024-09-30,Netherlands,1497661.731,2024Q3
