name,code,year,GDP_growth
Austria,AUT,2014,0.755798850316665
Austria,AUT,2015,1.30352331826198
Austria,AUT,2016,2.11721964494312
Austria,AUT,2017,2.27224992038207
Austria,AUT,2018,2.48422114080024
Austria,AUT,2019,1.75497619649288
Austria,AUT,2020,-6.31825509209936
Austria,AUT,2021,4.79532885699543
Austria,AUT,2022,5.27789448538658
Austria,AUT,2023,-0.954962529389121
Austria,AUT,2024,-1.17354053552188
Belgium,BEL,2014,1.76554038149924
Belgium,BEL,2015,1.47416433731927
Belgium,BEL,2016,1.19350273007754
Belgium,BEL,2017,1.47446761556785
Belgium,BEL,2018,1.87796847383565
Belgium,BEL,2019,2.4428900448156
Belgium,BEL,2020,-4.7929839083518
Belgium,BEL,2021,6.20759981274431
Belgium,BEL,2022,4.2593607365269
Belgium,BEL,2023,1.201691781997
Belgium,BEL,2024,1.01889862506124
Switzerland,CHE,2014,2.34988141500179
Switzerland,CHE,2015,1.64462750849488
Switzerland,CHE,2016,2.06868969039562
Switzerland,CHE,2017,1.36279965488859
Switzerland,CHE,2018,2.86044579439036
Switzerland,CHE,2019,1.14198218965691
Switzerland,CHE,2020,-2.14173712008038
Switzerland,CHE,2021,5.55962020605844
Switzerland,CHE,2022,3.04406102969423
Switzerland,CHE,2023,0.683328174376044
Switzerland,CHE,2024,1.30233332541106
Germany,DEU,2014,2.16949889758517
Germany,DEU,2015,1.65271978656361
Germany,DEU,2016,2.29471066413561
Germany,DEU,2017,2.71602454639843
Germany,DEU,2018,1.11644310902427
Germany,DEU,2019,0.987893350164853
Germany,DEU,2020,-4.09513751682526
Germany,DEU,2021,3.6699998840452
Germany,DEU,2022,1.36973104612758
Germany,DEU,2023,-0.266438401180253
Germany,DEU,2024,-0.238526858256165
Denmark,DNK,2014,1.27799983192831
Denmark,DNK,2015,2.10441456445301
Denmark,DNK,2016,3.07304549209093
Denmark,DNK,2017,3.05647723922718
Denmark,DNK,2018,1.8600074900921
Denmark,DNK,2019,1.71140093932736
Denmark,DNK,2020,-1.78010601831291
Denmark,DNK,2021,7.38206633449863
Denmark,DNK,2022,1.54017307357893
Denmark,DNK,2023,2.49518434516773
Denmark,DNK,2024,3.67619734971929
Spain,ESP,2014,1.52048593647231
Spain,ESP,2015,4.06086672473866
Spain,ESP,2016,2.91515598595787
Spain,ESP,2017,2.89604207865007
Spain,ESP,2018,2.39541124478878
Spain,ESP,2019,1.96117850841711
Spain,ESP,2020,-10.9400706350371
Spain,ESP,2021,6.68314420473001
Spain,ESP,2022,6.17931219966114
Spain,ESP,2023,2.6756634629066
Spain,ESP,2024,3.15019564517223
Finland,FIN,2014,-0.4780684247837
Finland,FIN,2015,0.466503766322674
Finland,FIN,2016,2.57193414898754
Finland,FIN,2017,3.30337003591039
Finland,FIN,2018,1.19297759742292
Finland,FIN,2019,1.34973845741737
Finland,FIN,2020,-2.49103605535707
Finland,FIN,2021,2.67634641498897
Finland,FIN,2022,0.763041912763526
Finland,FIN,2023,-0.946904862611035
Finland,FIN,2024,-0.154214821070312
France,FRA,2014,0.997832947295251
France,FRA,2015,1.06675474783462
France,FRA,2016,0.860031075424033
France,FRA,2017,2.08361485997399
France,FRA,2018,1.64590872395887
France,FRA,2019,2.02744646419237
France,FRA,2020,-7.44064589948231
France,FRA,2021,6.88233783360239
France,FRA,2022,2.57084047567793
France,FRA,2023,0.936487518850853
France,FRA,2024,1.16613851497229
United Kingdom,GBR,2014,3.19463731938923
United Kingdom,GBR,2015,2.22288842280334
United Kingdom,GBR,2016,1.92171009934007
United Kingdom,GBR,2017,2.65650487566202
United Kingdom,GBR,2018,1.40519025981538
United Kingdom,GBR,2019,1.62447518038404
United Kingdom,GBR,2020,-10.296918859171
United Kingdom,GBR,2021,8.57595087393024
United Kingdom,GBR,2022,4.83908517877134
United Kingdom,GBR,2023,0.39708234553963
United Kingdom,GBR,2024,1.10066786639271
"Hong Kong SAR, China",HKG,2014,2.76243030119892
"Hong Kong SAR, China",HKG,2015,2.38778339545998
"Hong Kong SAR, China",HKG,2016,2.17543692765861
"Hong Kong SAR, China",HKG,2017,3.79611358119647
"Hong Kong SAR, China",HKG,2018,2.84693457597662
"Hong Kong SAR, China",HKG,2019,-1.67239516545338
"Hong Kong SAR, China",HKG,2020,-6.54478320166854
"Hong Kong SAR, China",HKG,2021,6.4544247325683
"Hong Kong SAR, China",HKG,2022,-3.68375141698573
"Hong Kong SAR, China",HKG,2023,3.21448901714471
"Hong Kong SAR, China",HKG,2024,2.5411975388228
Ireland,IRL,2014,9.33603375045837
Ireland,IRL,2015,24.6155698980205
Ireland,IRL,2016,1.2226384923421
Ireland,IRL,2017,10.0496284821662
Ireland,IRL,2018,7.5443421414267
Ireland,IRL,2019,5.04054996161159
Ireland,IRL,2020,7.1578988000836
Ireland,IRL,2021,16.2556135233358
Ireland,IRL,2022,8.61950345618772
Ireland,IRL,2023,-5.5300073886596
Ireland,IRL,2024,1.22133429898928
Italy,ITA,2014,-0.00138761730454462
Italy,ITA,2015,0.885667635240807
Italy,ITA,2016,1.23622108511661
Italy,ITA,2017,1.60369995294101
Italy,ITA,2018,0.826646712344115
Italy,ITA,2019,0.429162533780342
Italy,ITA,2020,-8.86822122185345
Italy,ITA,2021,8.93106210800055
Italy,ITA,2022,4.82117669913565
Italy,ITA,2023,0.715372500867531
Italy,ITA,2024,0.725792380234424
