name,code,year,CPI
"Hong Kong SAR, China",HKG,2014,4.42364532019702
"Hong Kong SAR, China",HKG,2015,2.99084819322579
"Hong Kong SAR, China",HKG,2016,2.40930743862221
"Hong Kong SAR, China",HKG,2017,1.49387243939528
"Hong Kong SAR, China",HKG,2018,2.40613432046534
"Hong Kong SAR, China",HKG,2019,2.88320853773994
"Hong Kong SAR, China",HKG,2020,0.25096202108081
"Hong Kong SAR, China",HKG,2021,1.56875834445923
"Hong Kong SAR, China",HKG,2022,1.88136707196852
"Hong Kong SAR, China",HKG,2023,2.09660511249086
"Hong Kong SAR, China",HKG,2024,1.72972119105916
