I.20 Banking System: Liabilities,,,,,,,,,,,S$ MILLION
End of Period,Liabilities,Capital and Reserves,Deposits and Balances of Non-Bank Customers [1],Deposits and Balances of Non-Bank Customers - Demand Deposits,Deposits and Balances of Non-Bank Customers - Fixed Deposits,Deposits and Balances of Non-Bank Customers - Savings Deposits,Deposits and Balances of Non-Bank Customers - Other Deposits and Balances,Amounts Payable to Banks,Amounts Payable to Banks - In Singapore,Amounts Payable to Banks - Outside Singapore,Other Liabilities
Aug 2025 (P),3767197.6,207748.5,2035984.8,657320.8,980882.6,315707.8,82073.6,904257,155503.7,748753.3,619207.3
Jul 2025,3801374.6,209006.9,2041841.3,661166.1,989667.5,311511,79496.6,916309.5,163027.3,753282.1,634217
Jun 2025,3747752.7,207925.8,1996206.4,644257.3,969193.2,305471.2,77284.6,937645.5,169991.9,767653.5,605975
May 2025,3729710.2,206046.2,2000889.2,640937.3,975043.3,301170.3,83738.3,923176.6,189427.7,733748.9,599598.1
Apr 2025,3760651.5,206551.5,1997802,646739.7,965543.3,299374.9,86144.1,913402.6,169949.6,743452.9,642895.5
Mar 2025,3739737.9,209003.1,1995638.3,651930.7,960262.5,296682.5,86762.6,913672.4,163991.8,749680.6,621424.2
Feb 2025,3732381.1,208263.3,1976897.1,643136.4,957618.6,292741.2,83400.9,909343.8,168654.1,740689.7,637876.9
Jan 2025,3786369.6,206964.1,1966349.9,646275.5,954450.1,288642.9,76981.4,915542.6,167211.4,748331.2,697513
Dec 2024,3862555.7,203763.9,1953653.1,633035.5,958156,286144.3,76317.2,947557.1,159803.9,787753.1,757581.7
Nov 2024,3677468.9,200278.7,1923337.2,619803.2,951022.7,279237.3,73273.9,905961.1,155745.5,750215.6,647892
Oct 2024,3674172,200494.2,1902893.6,603941.3,945104,276236.2,77612.2,875957.3,159060.3,716897,694826.9
Sep 2024,3614808.7,199105,1872975.8,598249.6,934631.3,268613.7,71481.1,895673.1,152445.6,743227.5,647054.7
Aug 2024,3610584.5,196163.7,1864412.7,575900.3,950943.8,264688.2,72880.4,912173.7,163830.4,748343.3,637834.5
Jul 2024,3601122,198651.7,1885395.8,583610.3,962629.4,265379.7,73776.5,904840.6,159331.8,745508.8,612233.8
Jun 2024,3562981.4,194651.5,1880316.7,584106.1,956913.9,266728.1,72568.6,900974.5,152950.3,748024.2,587038.8
May 2024,3567715.4,191770.1,1885795.2,584216.7,964122.7,266879,70576.7,900147.3,153292.2,746855.1,590002.9
Apr 2024,3590227.9,188057.3,1877600.1,590513.2,947995.4,267443.4,71648.1,897802.9,148978.9,748824,626767.6
Mar 2024,3586372.9,191324.7,1868420.2,591113.8,939320.2,266135,71851.1,932753.8,168824,763929.8,593874.3
Feb 2024,3522022.6,190331,1841255.7,580288.8,930422,262416.1,68128.9,911605.1,166034.8,745570.3,578830.9
Jan 2024,3508156.3,188029.5,1844938.9,585144.1,930012.9,259936.5,69845.4,909221.1,161841.9,747379.1,565966.8
Dec 2023,3452204,182581,1817464.4,580171.6,905743.9,263378.8,68170.1,902798.1,151424.2,751373.9,549360.5
Nov 2023,3505420,179178.5,1820819.6,587983.4,899905.7,259417.9,73512.6,918051.3,164564.6,753486.7,587370.6
Oct 2023,3485050.4,176524.7,1824271.2,574873.9,912844.6,260645.2,75907.4,877912.3,148459.1,729453.1,606342.3
Sep 2023,3465406,176321.3,1810915.7,567093.4,905399.7,259682.8,78739.9,888366.1,149148.7,739217.3,589803
Aug 2023,3447731.2,175949.3,1803045.5,571271.7,896615,259769.3,75389.5,855922.4,153043.9,702878.5,612813.9
