I.5A Commercial Banks: Loans and Advances to Residents by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,S$ MILLION
End of Period,Loans and Advances Including Bills Financing,Loans to Businesses,"Loans to Businesses - Agriculture, Mining, and Quarrying","Loans to Businesses - Agriculture, Mining, and Quarrying - Agriculture and Fishing","Loans to Businesses - Agriculture, Mining, and Quarrying - Mining and Quarrying",Loans to Businesses - Manufacturing ,Loans to Businesses - Building and Construction ,Loans to Businesses - Building and Construction  - Construction,Loans to Businesses - Building and Construction  - Real Property and Development of Land,Loans to Businesses - General Commerce ,Loans to Businesses - General Commerce  - Wholesale Trade,Loans to Businesses - General Commerce  - Retail Trade,Loans to Businesses - General Commerce  - Accommodation and Food Services Activities,"Loans to Businesses - Transport, Storage and Communication","Loans to Businesses - Transport, Storage and Communication - Transport and Storage","Loans to Businesses - Transport, Storage and Communication - Information and Communications",Loans to Businesses - Financial and Insurance Activities  [1],"Loans to Businesses - Professional, Scientific, Technical, Administrative, Support Service Activities",Loans to Businesses - Others ,"Loans to Businesses - Others  - Electricity, Gas and Water Supply",Loans to Businesses - Others  - Other Industries,Consumer Loans ,Consumer Loans  - Housing and Bridging Loans,Consumer Loans  - Natural Persons - Car Loans,Consumer Loans  - Natural Persons - Credit Cards,Consumer Loans  - Natural Persons - Share Financing,Consumer Loans  - Natural Persons - Others
Aug 2025 (P),851726,514578.5,3309.3,1171.3,2138,24779.7,178976,9765.5,169210.5,86876.6,65694.7,7140.2,14041.6,43569.1,30094.8,13474.3,130821.5,15195.6,31050.7,10579.6,20471.1,337147.5,239152.3,8743.9,16779.6,582.2,71889.5
Jul 2025,854019.7,519493.2,3428,1205.9,2222,25502.3,180612.1,9901.2,170710.9,88248,67412.5,7119.3,13716.1,44753.4,30631.5,14121.9,130419.4,15630.6,30899.6,10940.3,19959.4,334526.5,238108.3,8605.9,16559,562.8,70690.5
Jun 2025,853335.7,520738.8,3726.5,1450.5,2276,23937.3,178515.7,9920.8,168594.9,89975.2,68942.9,7278,13754.4,43101,30217.6,12883.4,133397.1,16519.4,31566.6,10470.8,21095.8,332596.9,237173.9,8501.5,16684.1,530.1,69707.4
May 2025,844573.2,515001.7,3713,1638.8,2074.2,23532.9,178809.9,9905,168905,87962.2,67273.5,6975.3,13713.4,41187.1,30543.6,10643.5,132923.6,16475.8,30397.3,10150.4,20246.9,329571.5,235744.4,8358.3,16571.2,486,68411.6
Apr 2025,841923.8,513784.5,3322.6,1383.7,1938.9,23775.8,177823.8,9498.9,168325,86273.5,65451.9,7041.5,13780,41409.8,29931.8,11478,135899.8,16024.7,29254.6,10289.7,18964.9,328139.3,234510,8222,16415,492.3,68500
Mar 2025,846504,519551.4,3558,1506.3,2051.7,24359.2,177820.6,9587.6,168233,93825.1,73178.2,6731.4,13915.6,40115.4,29575.2,10540.2,135573.2,15369.5,28930.5,9949.1,18981.4,326952.5,233618.9,8152.9,16241.5,531.5,68407.7
Feb 2025,841065.7,515914.8,3807.3,1775,2032.3,22423.2,177786.6,9498.6,168288,87480.8,67067.7,6607.7,13805.4,42155.2,30177.5,11977.8,137933.3,14578.5,29749.7,9822.1,19927.6,325150.9,233042.8,8065.3,16163.4,544.9,67334.6
Jan 2025,836281.2,511963.4,3735.9,1813.4,1922.5,21706.1,176227.2,9436.5,166790.7,87925.6,67334.7,6829.9,13761.1,43790.1,32073.9,11716.2,135957.7,15099.9,27521,9548,17972.9,324317.8,232246.6,8015.5,16235.7,543.3,67276.8
Dec 2024,834929.8,510856.1,3991.7,1813.2,2178.5,21500.2,175699.2,9397.8,166301.4,91894.8,71069.4,7033.6,13791.7,43685.3,31897,11788.3,130678.7,16616,26790.2,9139.8,17650.5,324073.7,231727.5,7963.4,16621.5,514.7,67246.6
Nov 2024,819362.5,496637.2,3470.6,1528.2,1942.5,20258.3,176492.7,9561.3,166931.4,86080.5,65498.5,7020.2,13561.8,41106.3,29910.1,11196.1,128243.4,14969.6,26016,9520.8,16495.2,322725.2,231046,7920.2,16402.4,505.3,66851.3
