I.5B Commercial Banks: Loans and Advances to Non-Residents by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,S$ MILLION
End of Period,Loans and Advances Including Bills Financing,Loans to Businesses,"Loans to Businesses - Agriculture, Mining, and Quarrying","Loans to Businesses - Agriculture, Mining, and Quarrying - Agriculture and Fishing","Loans to Businesses - Agriculture, Mining, and Quarrying - Mining and Quarrying",Loans to Businesses - Manufacturing,Loans to Businesses - Building and Construction,Loans to Businesses - Building and Construction - Construction,Loans to Businesses - Building and Construction - Real Property and Development of Land,Loans to Businesses - General Commerce,Loans to Businesses - General Commerce - Wholesale Trade,Loans to Businesses - General Commerce - Retail Trade,Loans to Businesses - General Commerce - Accommodation and Food Services Activities,"Loans to Businesses - Transport, Storage and Communication","Loans to Businesses - Transport, Storage and Communication - Transport and Storage","Loans to Businesses - Transport, Storage and Communication - Information and Communications",Loans to Businesses - Financial and Insurance Activities [1],"Loans to Businesses - Professional, Scientific, Technical, Administrative, Support Service Activities",Loans to Businesses - Others,"Loans to Businesses - Others - Electricity, Gas and Water Supply",Loans to Businesses - Others - Other Industries,Consumer Loans,Consumer Loans - Housing and Bridging Loans,Consumer Loans - Natural Persons - Car Loans,Consumer Loans - Natural Persons - Credit Cards,Consumer Loans - Natural Persons - Share Financing,Consumer Loans - Natural Persons - Others
Aug 2025 (P),459646.2,403047.6,11824.9,817.8,11007.1,49195.1,36206,3027.8,33178.2,29701.9,23371.2,2454.5,3876.2,38704.6,19674.2,19030.4,192204.2,14473.9,30737,19878.5,10858.5,56598.5,10163.7,14,132.7,59.4,46228.7
Jul 2025,465882,409680.4,12475.9,843.3,11632.6,48602.6,36085,3059.8,33025.2,30947.9,24721.2,2350.7,3876.1,41169.9,20239.1,20930.8,195089,14739.3,30570.8,19992.6,10578.2,56201.7,10270.1,12.9,131.6,56.5,45730.5
Jun 2025,467037.5,411589.7,13476.3,886.2,12590.1,49988.3,35772,2510.6,33261.3,34306.4,28259.3,2248.2,3798.9,39598.1,20586.2,19011.9,194116.7,14226.2,30105.9,20230.4,9875.5,55447.8,10307,12.6,127.1,57.3,44943.7
May 2025,461054.6,406301.4,14684.7,1032.8,13651.9,49296.7,35392.5,2548.8,32843.6,29959.5,23979.1,2185.2,3795.2,39944.8,21307.4,18637.4,192618.7,14209,30195.6,20553,9642.6,54753.3,10372.9,12.3,124.3,50.4,44193.4
Apr 2025,474363.1,419738.6,14390.2,914.3,13476,54258.6,36100.3,2555,33545.3,31561.3,25405,2340.4,3816,41668.5,22872.1,18796.4,195504.6,15266.6,30988.5,21129.1,9859.5,54624.5,10442.5,12.4,122.6,52.4,43994.6
Mar 2025,481340.2,426628.4,14572,931.8,13640.2,57586,36859.6,2713.2,34146.5,33690.9,27029.8,2456.1,4205,41536.9,23528.2,18008.7,196113.1,15440.3,30829.5,21062,9767.5,54711.8,10572.8,12.2,118.8,55,43953.1
Feb 2025,464333.5,410258.9,14649.2,922.8,13726.4,51132.2,37898.9,2912.5,34986.5,26842.3,20113,2491,4238.3,39618.6,23338.2,16280.3,193937.9,14897.2,31282.6,21588.2,9694.4,54074.7,10603.7,12.2,120.4,53.3,43285.1
Jan 2025,464419.3,411085.9,14586.7,886.2,13700.4,50315.2,37923.1,2769,35154.2,28004.7,21334.8,2414.7,4255.1,39288.5,23055.5,16233.1,193789,14841.6,32337.1,22658.6,9678.5,53333.4,10659.8,12.3,123.4,55.6,42482.4
Dec 2024,475454.8,422157.1,14686.2,930.1,13756.2,57232.2,38068,2516.4,35551.6,29792.2,22955,2519.8,4317.4,40693.6,22739.7,17953.8,193840.5,15356.9,32487.7,22772.4,9715.3,53297.7,10623.6,12.8,124.5,53.5,42483.2
Nov 2024,462387.5,408907.9,14269,890.2,13378.8,50869.8,37694.9,2417.1,35277.7,28465.9,21723.9,2432.7,4309.3,36561.1,22130.5,14430.7,194578.8,14789,31679.5,22763.1,8916.3,53479.6,10699.5,12.6,120.4,47.6,42599.6
