"CubeId";"BSTA@SNB.MONA_US.BIL.PAS.VKE.KOV"
"PublishingDate";"2025-10-21 09:49"

"Date";"KONSOLIDIERUNGSSTUFE";"INLANDAUSLAND";"WAEHRUNG";"SEKTORESVG";"FAELLIGKEIT";"UEBERTRAGBARKEIT";"BANKENGRUPPE";"Value"
"2015-01";"U";"I";"T";"T";"T";"T";"A40";"960901000"
"2015-01";"U";"I";"T";"T";"ASI";"T";"A40";"404424000"
"2015-01";"U";"I";"T";"T";"KUE";"T";"A40";"489318000"
"2015-01";"U";"I";"T";"T";"KUE";"UEB";"A40";"172055000"
"2015-01";"U";"I";"T";"T";"KUE";"NUE";"A40";"317263000"
"2015-01";"U";"I";"T";"T";"RLZ";"T";"A40";"67160000"
"2015-01";"U";"I";"T";"NFU";"T";"T";"A40";"202383000"
"2015-01";"U";"I";"T";"NFU";"ASI";"T";"A40";"148014000"
"2015-01";"U";"I";"T";"NFU";"KUE";"T";"A40";"31947000"
"2015-01";"U";"I";"T";"NFU";"KUE";"UEB";"A40";"15894000"
"2015-01";"U";"I";"T";"NFU";"KUE";"NUE";"A40";"16053000"
"2015-01";"U";"I";"T";"NFU";"RLZ";"T";"A40";"22423000"
"2015-01";"U";"I";"T";"FUN";"T";"T";"A40";"162847000"
"2015-01";"U";"I";"T";"FUN";"ASI";"T";"A40";"110024000"
"2015-01";"U";"I";"T";"FUN";"KUE";"T";"A40";"20447000"
"2015-01";"U";"I";"T";"FUN";"KUE";"UEB";"A40";"14146000"
"2015-01";"U";"I";"T";"FUN";"KUE";"NUE";"A40";"6301000"
"2015-01";"U";"I";"T";"FUN";"RLZ";"T";"A40";"32378000"
"2015-01";"U";"I";"T";"FVW";"T";"T";"A40";"62452000"
"2015-01";"U";"I";"T";"FVW";"ASI";"T";"A40";"47482000"
"2015-01";"U";"I";"T";"FVW";"KUE";"T";"A40";"5093000"
"2015-01";"U";"I";"T";"FVW";"KUE";"UEB";"A40";"3445000"
"2015-01";"U";"I";"T";"FVW";"KUE";"NUE";"A40";"1648000"
"2015-01";"U";"I";"T";"FVW";"RLZ";"T";"A40";"9878000"
"2015-01";"U";"I";"CHF";"T";"T";"T";"A40";"841888000"
"2015-01";"U";"I";"CHF";"T";"ASI";"T";"A40";"307344000"
"2015-01";"U";"I";"CHF";"T";"KUE";"T";"A40";"479844000"
"2015-01";"U";"I";"CHF";"T";"KUE";"UEB";"A40";"165663000"
"2015-01";"U";"I";"CHF";"T";"KUE";"NUE";"A40";"314181000"
"2015-01";"U";"I";"CHF";"T";"RLZ";"T";"A40";"54702000"
"2015-01";"U";"I";"CHF";"NFU";"T";"T";"A40";"166482000"
"2015-01";"U";"I";"CHF";"NFU";"ASI";"T";"A40";"116721000"
"2015-01";"U";"I";"CHF";"NFU";"KUE";"T";"A40";"30297000"
"2015-01";"U";"I";"CHF";"NFU";"KUE";"UEB";"A40";"14483000"
"2015-01";"U";"I";"CHF";"NFU";"KUE";"NUE";"A40";"15814000"
"2015-01";"U";"I";"CHF";"NFU";"RLZ";"T";"A40";"19464000"
"2015-01";"U";"I";"CHF";"FUN";"T";"T";"A40";"127975000"
"2015-01";"U";"I";"CHF";"FUN";"ASI";"T";"A40";"81212000"
"2015-01";"U";"I";"CHF";"FUN";"KUE";"T";"A40";"20031000"
"2015-01";"U";"I";"CHF";"FUN";"KUE";"UEB";"A40";"13775000"
"2015-01";"U";"I";"CHF";"FUN";"KUE";"NUE";"A40";"6256000"
"2015-01";"U";"I";"CHF";"FUN";"RLZ";"T";"A40";"26732000"
"2015-01";"U";"I";"CHF";"FVW";"T";"T";"A40";"38362000"
"2015-01";"U";"I";"CHF";"FVW";"ASI";"T";"A40";"28344000"
"2015-01";"U";"I";"CHF";"FVW";"KUE";"T";"A40";"4838000"
"2015-01";"U";"I";"CHF";"FVW";"KUE";"UEB";"A40";"3230000"
"2015-01";"U";"I";"CHF";"FVW";"KUE";"NUE";"A40";"1608000"
"2015-01";"U";"I";"CHF";"FVW";"RLZ";"T";"A40";"5179000"
"2015-02";"U";"I";"T";"T";"T";"T";"A40";"970511000"
"2015-02";"U";"I";"T";"T";"ASI";"T";"A40";"404263000"
"2015-02";"U";"I";"T";"T";"KUE";"T";"A40";"496552000"
"2015-02";"U";"I";"T";"T";"KUE";"UEB";"A40";"178909000"
"2015-02";"U";"I";"T";"T";"KUE";"NUE";"A40";"317643000"
"2015-02";"U";"I";"T";"T";"RLZ";"T";"A40";"69698000"
"2015-02";"U";"I";"T";"NFU";"T";"T";"A40";"204287000"
"2015-02";"U";"I";"T";"NFU";"ASI";"T";"A40";"151132000"
"2015-02";"U";"I";"T";"NFU";"KUE";"T";"A40";"32890000"
"2015-02";"U";"I";"T";"NFU";"KUE";"UEB";"A40";"16644000"
"2015-02";"U";"I";"T";"NFU";"KUE";"NUE";"A40";"16246000"
"2015-02";"U";"I";"T";"NFU";"RLZ";"T";"A40";"20265000"
"2015-02";"U";"I";"T";"FUN";"T";"T";"A40";"162611000"
"2015-02";"U";"I";"T";"FUN";"ASI";"T";"A40";"102856000"
"2015-02";"U";"I";"T";"FUN";"KUE";"T";"A40";"22533000"
"2015-02";"U";"I";"T";"FUN";"KUE";"UEB";"A40";"16412000"
"2015-02";"U";"I";"T";"FUN";"KUE";"NUE";"A40";"6121000"
"2015-02";"U";"I";"T";"FUN";"RLZ";"T";"A40";"37223000"
"2015-02";"U";"I";"T";"FVW";"T";"T";"A40";"66039000"
"2015-02";"U";"I";"T";"FVW";"ASI";"T";"A40";"47535000"
"2015-02";"U";"I";"T";"FVW";"KUE";"T";"A40";"5486000"
"2015-02";"U";"I";"T";"FVW";"KUE";"UEB";"A40";"3834000"
"2015-02";"U";"I";"T";"FVW";"KUE";"NUE";"A40";"1652000"
"2015-02";"U";"I";"T";"FVW";"RLZ";"T";"A40";"13017000"
"2015-02";"U";"I";"CHF";"T";"T";"T";"A40";"842451000"
"2015-02";"U";"I";"CHF";"T";"ASI";"T";"A40";"301822000"
"2015-02";"U";"I";"CHF";"T";"KUE";"T";"A40";"486722000"
"2015-02";"U";"I";"CHF";"T";"KUE";"UEB";"A40";"172244000"
"2015-02";"U";"I";"CHF";"T";"KUE";"NUE";"A40";"314478000"
"2015-02";"U";"I";"CHF";"T";"RLZ";"T";"A40";"53906000"
"2015-02";"U";"I";"CHF";"NFU";"T";"T";"A40";"164411000"
"2015-02";"U";"I";"CHF";"NFU";"ASI";"T";"A40";"115626000"
"2015-02";"U";"I";"CHF";"NFU";"KUE";"T";"A40";"31147000"
"2015-02";"U";"I";"CHF";"NFU";"KUE";"UEB";"A40";"15158000"
"2015-02";"U";"I";"CHF";"NFU";"KUE";"NUE";"A40";"15989000"
"2015-02";"U";"I";"CHF";"NFU";"RLZ";"T";"A40";"17638000"
"2015-02";"U";"I";"CHF";"FUN";"T";"T";"A40";"123768000"
"2015-02";"U";"I";"CHF";"FUN";"ASI";"T";"A40";"73599000"
"2015-02";"U";"I";"CHF";"FUN";"KUE";"T";"A40";"22100000"
"2015-02";"U";"I";"CHF";"FUN";"KUE";"UEB";"A40";"16021000"
"2015-02";"U";"I";"CHF";"FUN";"KUE";"NUE";"A40";"6079000"
"2015-02";"U";"I";"CHF";"FUN";"RLZ";"T";"A40";"28070000"
"2015-02";"U";"I";"CHF";"FVW";"T";"T";"A40";"38517000"
"2015-02";"U";"I";"CHF";"FVW";"ASI";"T";"A40";"28416000"
"2015-02";"U";"I";"CHF";"FVW";"KUE";"T";"A40";"5220000"
"2015-02";"U";"I";"CHF";"FVW";"KUE";"UEB";"A40";"3605000"
"2015-02";"U";"I";"CHF";"FVW";"KUE";"NUE";"A40";"1615000"
"2015-02";"U";"I";"CHF";"FVW";"RLZ";"T";"A40";"4881000"
"2015-03";"U";"I";"T";"T";"T";"T";"A40";"965966000"
"2015-03";"U";"I";"T";"T";"ASI";"T";"A40";"397260000"
"2015-03";"U";"I";"T";"T";"KUE";"T";"A40";"499893000"
"2015-03";"U";"I";"T";"T";"KUE";"UEB";"A40";"182120000"
"2015-03";"U";"I";"T";"T";"KUE";"NUE";"A40";"317773000"
"2015-03";"U";"I";"T";"T";"RLZ";"T";"A40";"68814000"
"2015-03";"U";"I";"T";"NFU";"T";"T";"A40";"197340000"
"2015-03";"U";"I";"T";"NFU";"ASI";"T";"A40";"143191000"
"2015-03";"U";"I";"T";"NFU";"KUE";"T";"A40";"34480000"
"2015-03";"U";"I";"T";"NFU";"KUE";"UEB";"A40";"18198000"
"2015-03";"U";"I";"T";"NFU";"KUE";"NUE";"A40";"16282000"
"2015-03";"U";"I";"T";"NFU";"RLZ";"T";"A40";"19670000"
"2015-03";"U";"I";"T";"FUN";"T";"T";"A40";"162612000"
"2015-03";"U";"I";"T";"FUN";"ASI";"T";"A40";"102811000"
"2015-03";"U";"I";"T";"FUN";"KUE";"T";"A40";"23498000"
"2015-03";"U";"I";"T";"FUN";"KUE";"UEB";"A40";"16819000"
"2015-03";"U";"I";"T";"FUN";"KUE";"NUE";"A40";"6679000"
"2015-03";"U";"I";"T";"FUN";"RLZ";"T";"A40";"36303000"
"2015-03";"U";"I";"T";"FVW";"T";"T";"A40";"65194000"
"2015-03";"U";"I";"T";"FVW";"ASI";"T";"A40";"45544000"
"2015-03";"U";"I";"T";"FVW";"KUE";"T";"A40";"6536000"
"2015-03";"U";"I";"T";"FVW";"KUE";"UEB";"A40";"4435000"
"2015-03";"U";"I";"T";"FVW";"KUE";"NUE";"A40";"2101000"
"2015-03";"U";"I";"T";"FVW";"RLZ";"T";"A40";"13113000"
"2015-03";"U";"I";"CHF";"T";"T";"T";"A40";"843168000"
"2015-03";"U";"I";"CHF";"T";"ASI";"T";"A40";"299626000"
"2015-03";"U";"I";"CHF";"T";"KUE";"T";"A40";"490476000"
"2015-03";"U";"I";"CHF";"T";"KUE";"UEB";"A40";"175762000"
"2015-03";"U";"I";"CHF";"T";"KUE";"NUE";"A40";"314714000"
"2015-03";"U";"I";"CHF";"T";"RLZ";"T";"A40";"53067000"
"2015-03";"U";"I";"CHF";"NFU";"T";"T";"A40";"160707000"
"2015-03";"U";"I";"CHF";"NFU";"ASI";"T";"A40";"110789000"
"2015-03";"U";"I";"CHF";"NFU";"KUE";"T";"A40";"32924000"
"2015-03";"U";"I";"CHF";"NFU";"KUE";"UEB";"A40";"16891000"
"2015-03";"U";"I";"CHF";"NFU";"KUE";"NUE";"A40";"16033000"
"2015-03";"U";"I";"CHF";"NFU";"RLZ";"T";"A40";"16995000"
"2015-03";"U";"I";"CHF";"FUN";"T";"T";"A40";"125352000"
"2015-03";"U";"I";"CHF";"FUN";"ASI";"T";"A40";"75177000"
"2015-03";"U";"I";"CHF";"FUN";"KUE";"T";"A40";"23049000"
"2015-03";"U";"I";"CHF";"FUN";"KUE";"UEB";"A40";"16412000"
"2015-03";"U";"I";"CHF";"FUN";"KUE";"NUE";"A40";"6637000"
"2015-03";"U";"I";"CHF";"FUN";"RLZ";"T";"A40";"27126000"
"2015-03";"U";"I";"CHF";"FVW";"T";"T";"A40";"39077000"
"2015-03";"U";"I";"CHF";"FVW";"ASI";"T";"A40";"27767000"
"2015-03";"U";"I";"CHF";"FVW";"KUE";"T";"A40";"6314000"
"2015-03";"U";"I";"CHF";"FVW";"KUE";"UEB";"A40";"4249000"
"2015-03";"U";"I";"CHF";"FVW";"KUE";"NUE";"A40";"2065000"
"2015-03";"U";"I";"CHF";"FVW";"RLZ";"T";"A40";"4998000"
"2015-04";"U";"I";"T";"T";"T";"T";"A40";"961772000"
"2015-04";"U";"I";"T";"T";"ASI";"T";"A40";"392504000"
"2015-04";"U";"I";"T";"T";"KUE";"T";"A40";"502270000"
"2015-04";"U";"I";"T";"T";"KUE";"UEB";"A40";"182727000"
"2015-04";"U";"I";"T";"T";"KUE";"NUE";"A40";"319543000"
"2015-04";"U";"I";"T";"T";"RLZ";"T";"A40";"66999000"
"2015-04";"U";"I";"T";"NFU";"T";"T";"A40";"196199000"
