TIME_PERIOD,OBS_VALUE
2017-12-31,31179.462
2018-03-31,22794.763
2018-06-30,28319.781
2018-09-30,25656.04
2018-12-31,29429.348
2019-03-31,33407.7
2019-06-30,35865.867
2019-09-30,43766.332
2019-12-31,44958.677
2020-03-31,48758.339
2020-06-30,46053.196
2020-09-30,42678.903
2020-12-31,46332
2021-03-31,45573.335
2021-06-30,48486.175
2021-09-30,49440.134
2021-12-31,60084.975
2022-03-31,56373.546
2022-06-30,66425.828
2022-09-30,59661.991
2022-12-31,53710.242
2023-03-31,54039.307
2023-06-30,63761.409
2023-09-30,76129.409
2023-12-31,73491.851
2024-03-31,81507.083
2024-06-30,89723.775
2024-09-30,101917.741
2024-12-31,109507.65
2025-03-31,129825.826
2025-06-30,141423.743
