TIME_PERIOD,OBS_VALUE
2016-03-31,279950.066
2016-06-30,270082.073
2016-09-30,283504.365
2016-12-31,258286.526
2017-03-31,268066.117
2017-06-30,292410.467
2017-09-30,264530.784
2017-12-31,257996.956
2018-03-31,278067.779
2018-06-30,277978.076
2018-09-30,270764.169
2018-12-31,223158.843
2019-03-31,255551.98
2019-06-30,251002.279
2019-09-30,267521.391
2019-12-31,233633.459
2020-03-31,272755.233
2020-06-30,250712.53
2020-09-30,258033.129
2020-12-31,247537.024
2021-03-31,256079.527
2021-06-30,262343.797
2021-09-30,240946.318
2021-12-31,217614.324
2022-03-31,279875.567
2022-06-30,314778.199
2022-09-30,321359.931
2022-12-31,329142.602
2023-03-31,374797.65
2023-06-30,413353.53
2023-09-30,416079.12
2023-12-31,401164.015
2024-03-31,461797.618
2024-06-30,448354.432
2024-09-30,469309.52
2024-12-31,424988.23
2025-03-31,473761.432
2025-06-30,525109.166
