TIME_PERIOD,OBS_VALUE
1977-12-31,5092
1978-03-31,4491
1978-06-30,4636
1978-09-30,4665
1978-12-31,5067
1979-03-31,4634
1979-06-30,4760
1979-09-30,5060
1979-12-31,5310
1980-03-31,5082
1980-06-30,5557
1980-09-30,5255
1980-12-31,4718
1981-03-31,4477
1981-06-30,4613
1981-09-30,4370
1981-12-31,4610
1982-03-31,4408
1982-06-30,4573
1982-09-30,5104
1982-12-31,5543
1983-03-31,5609
1983-06-30,5792
1983-09-30,5155
1983-12-31,7323
1984-03-31,7661
1984-06-30,7554
1984-09-30,6919
1984-12-31,7246
1985-03-31,7613
1985-06-30,7606
1985-09-30,8592
1985-12-31,9423
1986-03-31,10677
1986-06-30,11124
1986-09-30,11938
1986-12-31,11567
1987-03-31,13315
1987-06-30,13931
1987-09-30,13569
1987-12-31,16001
1988-03-31,17289
1988-06-30,15755
1988-09-30,13664
1988-12-31,12617
1989-03-31,12937
1989-06-30,13107
1989-09-30,13379
1989-12-31,170457
1990-03-31,183230
1990-06-30,192405
1990-09-30,211191
1990-12-31,216666
1991-03-31,205677
1991-06-30,199096
1991-09-30,207797
1991-12-31,209418
1992-03-31,199086
1992-06-30,207911
1992-09-30,218115
1992-12-31,201221
1993-03-31,197355
1993-06-30,192433
1993-09-30,192484
1993-12-31,185571
1994-03-31,190869
1994-06-30,199790
1994-09-30,206756
1994-12-31,205836
1995-03-31,224983
1995-06-30,228122
1995-09-30,229563
1995-12-31,226239
1996-03-31,231610
1996-06-30,226935
1996-09-30,229183
1996-12-31,231811
1997-03-31,229609
1997-06-30,230624
1997-09-30,234080
1997-12-31,234039
1998-03-31,235257
1998-06-30,238906
1998-09-30,250539
1998-12-31,248317
1999-03-31,284979
1999-06-30,280578
1999-09-30,281225
1999-12-31,286616
2000-03-31,288083
2000-06-30,275573
2000-09-30,273469
2000-12-31,288213
2001-03-31,288850
2001-06-30,284215
2001-09-30,295751
2001-12-31,290169
2002-03-31,283570
2002-06-30,298217
2002-09-30,294218
2002-12-31,305081
2003-03-31,311093
2003-06-30,313500
2003-09-30,314655
2003-12-31,323752
2004-03-31,323313
2004-06-30,319904
2004-09-30,326304
2004-12-31,354136
2005-03-31,350426
2005-06-30,346710
2005-09-30,345174
2005-12-31,355416
2006-03-31,368076
2006-06-30,399364
2006-09-30,412750
2006-12-31,443017
2007-03-31,462889
2007-06-30,482392
2007-09-30,523843
2007-12-31,547651
2008-03-31,573984
2008-06-30,573796
2008-09-30,549047
2008-12-31,509691
2009-03-31,489063
2009-06-30,494866
2009-09-30,499438
2009-12-31,482995
2010-03-31,454423
2010-06-30,442340
2010-09-30,467553
2010-12-31,457894
2011-03-31,473644
2011-06-30,486032
2011-09-30,473893
2011-12-31,462850
2012-03-31,472896
2012-06-30,465162
2012-09-30,480252
2012-12-31,478287
2013-03-31,470877
2013-06-30,482078
2013-09-30,512690.434
2013-12-31,517494.602
2014-03-31,515572.022
2014-06-30,508353.817
2014-09-30,493902.849
2014-12-31,484688.309
2015-03-31,476829.176
2015-06-30,470040.667
2015-09-30,469700.959
2015-12-31,459147.623
2016-03-31,469657.653
2016-06-30,460617.538
2016-09-30,460272.657
2016-12-31,439544.503
2017-03-31,442440.373
2017-06-30,458902.54
2017-09-30,455944.902
2017-12-31,453831.203
2018-03-31,460072.335
2018-06-30,448286.653
2018-09-30,443395.974
2018-12-31,453335.97
2019-03-31,449497.133
2019-06-30,454656.667
2019-09-30,454216.746
2019-12-31,461050.575
2020-03-31,493941.543
2020-06-30,499187.78
2020-09-30,515951.743
2020-12-31,528961.502
2021-03-31,522698.246
2021-06-30,533519.406
2021-09-30,541129.522
2021-12-31,553191.652
2022-03-31,567657.716
2022-06-30,548425.46
2022-09-30,526516.896
2022-12-31,506834.925
2023-03-31,473676.888
2023-06-30,479194.892
2023-09-30,482763.429
2023-12-31,504169.252
2024-03-31,497394.217
2024-06-30,491673.273
2024-09-30,514143.264
2024-12-31,504237.377
2025-03-31,517369.456
