TIME_PERIOD,OBS_VALUE
2016-03-31,245443.455
2016-06-30,240549.648
2016-09-30,240598.559
2016-12-31,227422.556
2017-03-31,251670.155
2017-06-30,247876.561
2017-09-30,249493.171
2017-12-31,263420.949
2018-03-31,259756.875
2018-06-30,241122.819
2018-09-30,229203.978
2018-12-31,211097.569
2019-03-31,250133.988
2019-06-30,285945.269
2019-09-30,304720.123
2019-12-31,274285.858
2020-03-31,321444.967
2020-06-30,338473.142
2020-09-30,360327.188
2020-12-31,384074.658
2021-03-31,345510.424
2021-06-30,343941.606
2021-09-30,327701.37
2021-12-31,311943.799
2022-03-31,319569.068
2022-06-30,337662.822
2022-09-30,360464.533
2022-12-31,339673.784
2023-03-31,347520.349
2023-06-30,333599.989
2023-09-30,335983.149
2023-12-31,326774.441
2024-03-31,320088.144
2024-06-30,326838.924
2024-09-30,328177.812
2024-12-31,250116.633
2025-03-31,270774.276
2025-06-30,283158.964
