TIME_PERIOD,OBS_VALUE
2016-03-31,428166.72
2016-06-30,425688.699
2016-09-30,421152.843
2016-12-31,399042.922
2017-03-31,539332.246
2017-06-30,551739.872
2017-09-30,558955.64
2017-12-31,579406.956
2018-03-31,611105.428
2018-06-30,596735.993
2018-09-30,605348.113
2018-12-31,603858.936
2019-03-31,638043.339
2019-06-30,679054.634
2019-09-30,669645.247
2019-12-31,681178.403
2020-03-31,770314.881
2020-06-30,780713.343
2020-09-30,761887.324
2020-12-31,765619.431
2021-03-31,731617.126
2021-06-30,750393.553
2021-09-30,747138.966
2021-12-31,743506.233
2022-03-31,776965.019
2022-06-30,760007.28
2022-09-30,759030.777
2022-12-31,804752.024
2023-03-31,820295.878
2023-06-30,863651.704
2023-09-30,850359.979
2023-12-31,907799.563
2024-03-31,943144.297
2024-06-30,936904.272
2024-09-30,1003443.676
2024-12-31,975415.838
2025-03-31,1033180.865
2025-06-30,1145594.705
