TIME_PERIOD,OBS_VALUE
2016-03-31,418088.64
2016-06-30,404129.993
2016-09-30,399846.56
2016-12-31,325269.842
2017-03-31,253096.697
2017-06-30,243681.615
2017-09-30,264532.178
2017-12-31,247918.281
2018-03-31,271143.998
2018-06-30,262996.372
2018-09-30,279110.144
2018-12-31,386460.773
2019-03-31,441336.037
2019-06-30,443194.079
2019-09-30,445192.455
2019-12-31,396467.609
2020-03-31,437594.422
2020-06-30,428686.422
2020-09-30,440718.177
2020-12-31,420098.334
2021-03-31,449792.738
2021-06-30,462226.023
2021-09-30,468398.024
2021-12-31,366235.431
2022-03-31,444892.653
2022-06-30,434729.483
2022-09-30,430399.403
2022-12-31,403755.954
2023-03-31,442425.676
2023-06-30,454280.164
2023-09-30,420411.478
2023-12-31,409307.77
2024-03-31,425458.796
2024-06-30,390016.54
2024-09-30,409500.832
2024-12-31,326267.145
2025-03-31,373011.33
2025-06-30,416680.821
