TIME_PERIOD,OBS_VALUE
1991-12-31,27020
1992-03-31,26344
1992-06-30,28267
1992-09-30,32432
1992-12-31,31830
1993-03-31,34496
1993-06-30,35613
1993-09-30,37264
1993-12-31,38957
1994-03-31,41272
1994-06-30,41748
1994-09-30,45864
1994-12-31,49679
1995-03-31,56762
1995-06-30,61015
1995-09-30,63815
1995-12-31,64380
1996-03-31,66243
1996-06-30,64798
1996-09-30,66490
1996-12-31,67338
1997-03-31,73627
1997-06-30,80155
1997-09-30,80304
1997-12-31,77487
1998-03-31,78325
1998-06-30,76841
1998-09-30,75253
1998-12-31,79395
1999-03-31,78539
1999-06-30,80003
1999-09-30,86141
1999-12-31,84093
2000-03-31,84054
2000-06-30,88073
2000-09-30,86946
2000-12-31,89343
2001-03-31,83113
2001-06-30,82935
2001-09-30,82307
2001-12-31,73359
2002-03-31,62191
2002-06-30,62908
2002-09-30,61485
2002-12-31,60943
2003-03-31,62450
2003-06-30,62852
2003-09-30,66521
2003-12-31,72679
2004-03-31,74524
2004-06-30,78447
2004-09-30,78895
2004-12-31,85126
2005-03-31,84522
2005-06-30,88963
2005-09-30,91101
2005-12-31,96072
2006-03-31,97708
2006-06-30,103185
2006-09-30,107669
2006-12-31,117618
2007-03-31,120593
2007-06-30,134691
2007-09-30,140696
2007-12-31,161634
2008-03-31,167642
2008-06-30,160735
2008-09-30,162049
2008-12-31,163081
2009-03-31,158181
2009-06-30,165777
2009-09-30,173747
2009-12-31,174503
2010-03-31,170897
2010-06-30,170854
2010-09-30,181691
2010-12-31,189696
2011-03-31,198542
2011-06-30,214847
2011-09-30,214548
2011-12-31,220757
2012-03-31,232867
2012-06-30,234632
2012-09-30,248306
2012-12-31,267339.012
2013-03-31,267500.995
2013-06-30,281605.999
2013-09-30,299565.996
2013-12-31,310883
2014-03-31,315471.289
2014-06-30,337212.548
2014-09-30,351412.005
2014-12-31,362080.836
2015-03-31,372277.784
2015-06-30,364147.556
2015-09-30,366231.227
2015-12-31,381004.671
2016-03-31,394111.071
2016-06-30,410751.598
2016-09-30,442346.246
2016-12-31,432805.954
2017-03-31,447825.127
2017-06-30,456379.108
2017-09-30,458572.829
2017-12-31,458206.472
2018-03-31,484769.091
2018-06-30,488150.962
2018-09-30,495495.376
2018-12-31,503753.303
2019-03-31,512492.645
2019-06-30,505636.956
2019-09-30,490697.217
2019-12-31,474156.773
2020-03-31,504260.251
2020-06-30,513282.144
2020-09-30,514202.741
2020-12-31,515825.142
2021-03-31,513132.618
2021-06-30,523222.662
2021-09-30,537195.383
2021-12-31,534898.91
2022-03-31,541676.451
2022-06-30,544407.648
2022-09-30,554843.053
2022-12-31,553206.418
2023-03-31,537226.745
2023-06-30,569547.218
2023-09-30,589568.597
2023-12-31,570663.755
2024-03-31,612277.729
2024-06-30,597195.097
2024-09-30,607751.384
2024-12-31,596815.337
2025-03-31,610690.157
