quarter,value
2016Q1,327505.93
2016Q2,311258.594
2016Q3,305244.966
2016Q4,285765.589
2017Q1,284195.077
2017Q2,292605.189
2017Q3,302782.797
2017Q4,291589.891
2018Q1,302603.141
2018Q2,288419.606
2018Q3,283513.327
2018Q4,337206.952
2019Q1,371514.478
2019Q2,384537.604
2019Q3,400905.331
2019Q4,407333.923
2020Q1,448358.513
2020Q2,438209.814
2020Q3,448483.482
2020Q4,517358.497
2021Q1,495202.4
2021Q2,496551.122
2021Q3,490327.392
2021Q4,447124.392
2022Q1,477805.876
2022Q2,446610.621
2022Q3,496682.426
2022Q4,499528.803
2023Q1,523193.441
2023Q2,536900.423
2023Q3,537651.639
2023Q4,521471.275
2024Q1,519837.098
2024Q2,524916.262
2024Q3,568501.882
2024Q4,556407.078
2025Q1,604471.945
