TIME_PERIOD,OBS_VALUE
2016-03-31,485116.191
2016-06-30,483148.663
2016-09-30,455999.652
2016-12-31,438434.441
2017-03-31,464541.255
2017-06-30,472241.257
2017-09-30,490242.494
2017-12-31,505641.641
2018-03-31,530385.695
2018-06-30,527883.753
2018-09-30,522894.379
2018-12-31,505850.116
2019-03-31,512421.534
2019-06-30,536294.674
2019-09-30,551024.295
2019-12-31,546073.806
2020-03-31,580507.719
2020-06-30,592308.81
2020-09-30,677997.888
2020-12-31,703642.952
2021-03-31,653677.156
2021-06-30,679508.95
2021-09-30,666247.775
2021-12-31,666934.011
2022-03-31,686622.677
2022-06-30,697259.225
2022-09-30,716608.848
2022-12-31,756555.312
2023-03-31,768532.257
2023-06-30,780940.986
2023-09-30,771786.013
2023-12-31,758421.823
2024-03-31,755065.507
2024-06-30,758725.717
2024-09-30,970703.932
2024-12-31,886186.148
2025-03-31,944359.356
2025-06-30,1099461.586
