quarter,value
2016Q1,1196083.358
2016Q2,1220392.9
2016Q3,1165532.051
2016Q4,1046032.995
2017Q1,1078016.33
2017Q2,1117442.494
2017Q3,1104452.506
2017Q4,1092293.687
2018Q1,1099280.861
2018Q2,1079530.83
2018Q3,1068466.002
2018Q4,1019794.25
2019Q1,1061931.402
2019Q2,1125479.724
2019Q3,1149465.828
2019Q4,1123560.573
2020Q1,1217477.869
2020Q2,1224700.666
2020Q3,1247009.765
2020Q4,1233217.108
2021Q1,1280353.918
2021Q2,1248415.345
2021Q3,1264570.535
2021Q4,1209560.497
2022Q1,1253063.143
2022Q2,1316458.807
2022Q3,1315551.563
2022Q4,1432480.453
2023Q1,1426248.842
2023Q2,1466735.648
2023Q3,1461944.962
2023Q4,1411454.473
2024Q1,1420996.672
2024Q2,1421113.707
2024Q3,1497661.731
2024Q4,1377375.316
2025Q1,1376066.681
