TIME_PERIOD,OBS_VALUE
2016-03-31,210475.37
2016-06-30,211822.502
2016-09-30,215162.393
2016-12-31,207757.202
2017-03-31,213146.593
2017-06-30,208871.534
2017-09-30,229154.313
2017-12-31,227908.346
2018-03-31,231032.742
2018-06-30,223090.382
2018-09-30,223164.486
2018-12-31,212857.386
2019-03-31,227378.199
2019-06-30,234296.755
2019-09-30,224014.215
2019-12-31,225462.427
2020-03-31,218581.483
2020-06-30,219317.414
2020-09-30,221106.766
2020-12-31,399797.685
2021-03-31,396227.526
2021-06-30,399827.569
2021-09-30,389372.873
2021-12-31,368045.327
2022-03-31,381239.75
2022-06-30,371236.905
2022-09-30,360240.536
2022-12-31,364224.733
2023-03-31,365945.966
2023-06-30,360632.875
2023-09-30,364525.17
2023-12-31,386199.494
2024-03-31,388271.548
2024-06-30,370793.506
2024-09-30,389732.132
2024-12-31,344097.06
2025-03-31,379200.296
2025-06-30,405285.712
