TIME_PERIOD,OBS_VALUE
2016-03-31,256387.731
2016-06-30,252637.664
2016-09-30,249613.668
2016-12-31,216880.248
2017-03-31,355664.728
2017-06-30,345166.576
2017-09-30,349815.943
2017-12-31,316338.078
2018-03-31,342330.292
2018-06-30,346229.778
2018-09-30,321368.37
2018-12-31,310670.411
2019-03-31,270295.292
2019-06-30,259813.219
2019-09-30,267908.827
2019-12-31,242645.52
2020-03-31,263332.813
2020-06-30,255622.663
2020-09-30,263593.871
2020-12-31,259607.399
2021-03-31,267934.929
2021-06-30,264446.833
2021-09-30,262973.435
2021-12-31,232761.539
2022-03-31,314912.377
2022-06-30,368865.241
2022-09-30,397014.852
2022-12-31,360287.054
2023-06-30,687989.599
2023-09-30,678594.255
2023-12-31,631491.516
2024-03-31,678528.602
2024-06-30,663533.243
2024-09-30,687251.207
2024-12-31,560786.451
2025-03-31,634294.22
2025-06-30,671047.434
