TIME_PERIOD,OBS_VALUE
1983-12-31,20620
1984-03-31,21235
1984-06-30,22456
1984-09-30,22095
1984-12-31,21524
1985-03-31,21991
1985-06-30,22885
1985-09-30,24879
1985-12-31,28019
1986-03-31,28310
1986-06-30,29488
1986-09-30,31662
1986-12-31,33805
1987-03-31,36089
1987-06-30,36176
1987-09-30,39112
1987-12-31,41576
1988-03-31,40652
1988-06-30,42060
1988-09-30,42564
1988-12-31,47454
1989-03-31,49124
1989-06-30,46759
1989-09-30,51498
1989-12-31,55019
1990-03-31,57613
1990-06-30,62226
1990-09-30,65699
1990-12-31,66886
1991-03-31,63568
1991-06-30,61445
1991-09-30,63525
1991-12-31,63499
1992-03-31,62658
1992-06-30,63197
1992-09-30,62669
1992-12-31,63612
1993-03-31,63360
1993-06-30,61959
1993-09-30,61314
1993-12-31,62669
1994-03-31,62470
1994-06-30,61172
1994-09-30,65356
1994-12-31,65788
1995-03-31,71257
1995-06-30,73771
1995-09-30,74808
1995-12-31,80604
1996-03-31,88826
1996-06-30,87509
1996-09-30,94897
1996-12-31,95374
1997-03-31,102891
1997-06-30,107052
1997-09-30,109426
1997-12-31,113674
1998-03-31,114047
1998-06-30,114980
1998-09-30,112087
1998-12-31,113036
1999-03-31,118498
1999-06-30,118867
1999-09-30,119212
1999-12-31,119509
2000-03-31,120984
2000-06-30,120537
2000-09-30,121613
2000-12-31,121828
2001-03-31,115375
2001-06-30,115476
2001-09-30,115242
2001-12-31,113126
2002-03-31,111385
2002-06-30,111530
2002-09-30,113375
2002-12-31,117210
2003-03-31,118656
2003-06-30,119564
2003-09-30,119112
2003-12-31,126467
2004-03-31,115967
2004-06-30,115403
2004-09-30,117806
2004-12-31,124606
2005-03-31,131672
2005-06-30,131029
2005-09-30,133388
2005-12-31,138750
2006-03-31,140773
2006-06-30,154281
2006-09-30,154688
2006-12-31,170931
2007-03-31,178710
2007-06-30,195266
2007-09-30,190943
2007-12-31,230878
2008-03-31,235285
2008-06-30,229956
2008-09-30,223669
2008-12-31,214745
2009-03-31,213565
2009-06-30,226924
2009-09-30,228453
2009-12-31,228440
2010-03-31,224207
2010-06-30,217382
2010-09-30,226471
2010-12-31,231484
2011-03-31,242552
2011-06-30,248267
2011-09-30,241240
2011-12-31,243620
2012-03-31,190598
2012-06-30,192207
2012-09-30,203194
2012-12-31,205336.997
2013-03-31,205716.003
2013-06-30,212262
2013-09-30,224200.004
2013-12-31,230004
2014-03-31,227829.006
2014-06-30,237084.003
2014-09-30,237137.002
2014-12-31,239952
2015-03-31,232894.593
2015-06-30,233340.799
2015-09-30,238097.799
2015-12-31,230795.296
2016-03-31,236112.099
2016-06-30,239302.898
2016-09-30,237606.497
2016-12-31,220648.598
2017-03-31,228013.097
2017-06-30,231024.408
2017-09-30,247762.897
2017-12-31,254495.797
2018-03-31,246592.695
2018-06-30,250300.585
2018-09-30,245164.798
2018-12-31,246369.796
2019-03-31,248631.998
2019-06-30,256217.596
2019-09-30,262017.904
2019-12-31,272648.893
2020-03-31,283189.588
2020-06-30,281977.793
2020-09-30,287099.592
2020-12-31,300317.391
2021-03-31,301104.286
2021-06-30,313316.784
2021-09-30,311364.103
2021-12-31,309924.384
2022-03-31,307381.122
2022-06-30,300878.867
2022-09-30,295885.535
2022-12-31,302622.783
2023-03-31,303564.27
2023-06-30,301923.352
2023-09-30,299895.237
2023-12-31,303662.449
2024-03-31,300857.834
2024-06-30,299402.069
2024-09-30,304641.493
2024-12-31,298395.039
2025-03-31,301487.035
