TIME_PERIOD,OBS_VALUE
2016-03-31,4513850
2016-06-30,4612778
2016-09-30,4607960
2016-12-31,4407844
2017-03-31,4484002
2017-06-30,4640296
2017-09-30,4850182
2017-12-31,5064327
2018-03-31,5213839
2018-06-30,4931555
2018-09-30,4840809
2018-12-31,4923801
2019-03-31,4923884
2019-06-30,4952258
2019-09-30,4863205
2019-12-31,4878544
2020-03-31,5244404
2020-06-30,4945440
2020-09-30,5100203
2020-12-31,5421254
2021-03-31,5462906
2021-06-30,5451913
2021-09-30,5415734
2021-12-31,5517637
2022-03-31,5627477
2022-06-30,5461453
2022-09-30,5335687
2022-12-31,5337596
2023-03-31,5442770
2023-06-30,5404516
2023-09-30,5367395
2023-12-31,5591763
2024-03-31,5765712
2024-06-30,5714227
2024-09-30,6013720
2024-12-31,5854511
2025-03-31,6126711
