quarter,value
2015 Q1,129807291.66666664
2015 Q2,128691395.83333336
2015 Q3,128666076.38888894
2015 Q4,129927446.97052263
2016 Q1,128420792.99625155
2016 Q2,128615305.64982978
2016 Q3,129723253.07039744
2016 Q4,131436391.2659324
2017 Q1,132472133.34086709
2017 Q2,135889999.290092
2017 Q3,137833646.28065765
2017 Q4,138431612.5515324
2018 Q1,138001551.82463038
2018 Q2,139199087.5864654
2018 Q3,139484393.7839475
2018 Q4,140753622.8435187
2019 Q1,143108118.21261096
2019 Q2,144323022.16774076
2019 Q3,144134615.05565715
2019 Q4,142811748.7226789
2020 Q1,142453844.19111106
2020 Q2,145262889.7785868
2020 Q3,146385487.8714003
2020 Q4,148356254.78527397
2021 Q1,150812004.87918302
2021 Q2,151172966.51311404
2021 Q3,152020031.9280252
2021 Q4,152568509.61657512
2022 Q1,150936107.87126672
2022 Q2,148986089.23216328
2022 Q3,149666237.97261164
2022 Q4,149630225.57753068
2023 Q1,148158074.1444166
2023 Q2,145626959.92722806
2023 Q3,143767115.1503491
2023 Q4,144311229.1988839
2024 Q1,145100387.1506048
2024 Q2,151037804.2547735
2024 Q3,151362655.61840364
2024 Q4,153928158.47675952
2025 Q1,155889329.64383847
2025 Q2,155795197.0057599
2025 Q3,157744808.33798894
